gold,estate,cryto,stock,class,risk,profit
14.56,40.69,1015.48,73.73,C,Y,469.31
29.28,75.08,1005.21,59,C,N,436.15
14,43.34,1016.37,85.51,C,Y,463.99
23.76,74.22,1009.2,92.98,B,N,437.47
20.98,60.1,1011.07,79.44,C,N,450.95
27.61,59.54,1005.84,71.27,B,Y,437.85
8.86,40.8,1028.18,91,A,N,483.36
25.64,63.87,1017.14,49.25,A,N,444.34
13.5,41.44,1015.72,68.36,C,N,471.34
33.94,74.67,1015.94,28.16,A,N,427.98
11.72,39.18,1024.19,68.53,C,Y,468.98
28.61,69.75,1009.82,71.7,C,Y,440.53
20.11,57.25,1010.36,88.89,C,Y,451.95
30.61,67.69,1004.97,47.46,C,N,429.8
22.04,58.05,1013.11,85.22,B,N,447.28
27.62,67.51,1012.38,60.25,C,N,442.13
24.09,63.94,1017.59,51.02,C,N,442.92
23.22,63.07,1012.91,77.59,A,N,446.62
16.2,65.46,1013.97,89.84,C,Y,451.86
9.7,40.11,1026.61,75.48,C,N,473.97
22.85,60.29,1017.29,61.92,C,N,448.58
31.18,69.04,1008.19,49.72,C,N,441.26
15.43,39.64,1008.58,87.99,B,Y,464.05
24.57,49.5,1014.22,56.31,C,Y,455.72
9.52,40.96,1023.48,86.49,C,Y,483.59
26.38,66.49,1013.89,43.06,C,Y,442.38
26.32,69.71,1009.39,67.05,C,N,441.25
25.92,50.16,1003.95,71.3,A,N,440.98
12.19,40.05,1014.77,84.39,C,Y,473.92
19.79,44.9,1008.66,72.68,C,N,455.59
9.76,41.01,1019.66,97.59,C,Y,467.6
16.74,41.16,1006.87,74.24,C,Y,463
11.34,41.54,1020.25,75.83,C,N,477.24
25.9,47.45,1007.8,55.96,C,N,443.13
16.63,43.77,1012.25,75.09,A,Y,458.66
17.45,50.9,1012.16,83.8,C,N,458.67
23.34,45.61,1012.73,74.09,A,N,455.82
24.41,58.59,1012.62,64.52,C,N,442.64
12.31,44.78,1011.15,77.34,C,N,468.29
10.35,37.14,1013.37,69.26,A,N,472.63
33.43,66.44,1010.29,53.45,B,N,433.01
5.64,40.62,1015.76,85.98,C,N,483.17
24.8,61.02,1009.86,71.75,A,N,438.96
24.33,46.93,1013.72,48.27,C,Y,447.43
14.87,38.28,1014.65,80.24,B,N,467.29
7.66,41.92,1031.96,82.48,C,N,485.11
27.61,69.68,1012.79,77.01,B,N,438.31
23.4,72.99,1009.48,88.82,B,Y,438.51
13.98,44.58,1016.48,77.59,B,N,473.01
18.12,58.95,1017.82,86.16,C,Y,449.28
17.12,48.6,1007.38,79.15,B,Y,454.47
9.56,44.71,1021.13,64.6,C,Y,487.92
24.85,58.05,1011.5,70.12,C,Y,444.53
11.63,41.5,1013.6,87.11,C,Y,477.3
17.19,43.14,1014.34,68.62,A,N,464.72
15.68,43.7,1015.09,58.96,C,Y,470.29
23.64,69.94,1005.2,64.53,C,N,439.66
10.19,44.63,1020.58,91.64,A,N,472.45
27.71,70.32,1008.63,64.05,A,N,432.59
9.12,41.54,1018.61,79.26,B,Y,482.95
15.78,48.6,1007.24,84.23,C,Y,460.86
27.55,68.08,1011.42,60.71,C,Y,432.59
14.5,39,1017.04,75.75,A,N,465.32
23.88,51.95,1005.37,75.25,C,N,449.52
25.01,66.56,1004.55,82.46,C,N,434.74
22.36,58.79,1011.77,87.51,C,N,446.49
27.76,44.89,1009.4,50.15,A,N,442.83
9.95,43.56,1014.85,82.62,A,Y,477.88
17.48,58.95,1016.49,90.35,B,Y,449.26
17.35,47.83,1006.71,80.57,C,N,453.96
12.82,43.5,1022.38,84.32,C,N,471.41
28.86,49.3,1003.93,52.85,A,Y,435.75
33.41,77.95,1010.3,59.72,A,N,432.9
13.63,43.5,1022.12,84.32,C,Y,468.28
24.49,70.79,1005.51,88.65,C,Y,430.54
25.58,63.47,1011.44,66.81,B,Y,443.66
24.25,74.93,1013.07,69.31,B,N,445.44
9.59,38.56,1017.52,61.89,A,N,481.05
23.27,64.15,1020.98,71.18,C,Y,452.26
23.09,70.47,1010.76,79.89,C,N,439.36
28.35,70.32,1009.22,47.13,C,Y,427.21
19.62,68.63,1012.26,68.05,C,Y,453.84
29.13,47.93,1002.5,49.1,C,Y,435.61
21.92,66.54,1012.49,79.82,C,N,443.03
12.52,40.24,1020.45,97.41,A,Y,470.56
18.17,52.08,1001.91,100.09,B,Y,451.06
27.5,65.59,1011.23,65.37,C,N,441.27
14.48,39,1016.75,75.97,C,N,464.56
19.41,46.63,1013.23,86.28,C,N,452.6
24.43,47.45,1007.68,65.18,C,N,446.45
25.45,63.76,1009.96,67.78,C,N,439.56
10.07,39.66,1015.37,83.78,B,Y,479.64
18.85,48.06,1012.52,67.88,A,Y,451.77
24.65,64.63,1020.52,53.45,A,Y,446.04
18.99,62.1,1020,76.76,B,N,453.09
8.8,39.42,1025.17,68.72,C,N,476.5
10.16,41.79,1021.35,52.4,B,N,472.75
27.75,77.24,1007.48,78.37,A,Y,433.57
23.43,61.47,1007.84,87.11,C,N,448.01
28.62,69.98,1013.3,68.53,C,Y,432.11
15.82,43.34,1014.52,79.07,A,N,460.4
22.61,44.05,1005.69,76.74,B,Y,443.45
23.96,60.95,1015.01,65.24,A,N,446.4
29.81,73.67,1005.6,60.91,C,N,430.67
26.98,70.94,1007.99,68.16,B,Y,434.73
7.64,41.17,1020.01,75.14,C,N,488.53
20.07,42.23,1012.86,74.11,C,N,461.25
19.05,59.21,1017.99,89.53,B,N,451
26.27,58.33,1013.81,60.43,C,N,438.82
22.45,57.76,1017.55,58.6,B,N,450.61
26.52,73.21,1002.3,95.38,C,N,437.02
24.73,69.94,1006.09,59.15,C,N,439.86
26.11,70.36,1007.64,70.12,C,Y,445.37
10.87,38.38,1020.85,69.78,B,Y,477.03
7.19,38.91,1016.53,88.61,A,Y,486.05
14.91,39.28,1014.57,75.23,C,N,469.34
19.5,52.72,1025.21,50.21,B,N,457.26
22.96,68.61,1011.15,76.62,A,Y,447.18
29.74,56.9,1007.15,41.91,C,Y,438.76
16.03,41.23,996.35,82.04,B,N,464.67
17.35,52.72,1026.31,58.01,B,Y,463.65
11.26,39.35,1015.47,99.28,A,N,471.83
27.82,59.15,1012.74,42.78,C,N,442
28.15,71.94,1006.73,68.21,A,Y,427.69
14.66,42.77,1019.37,79.79,C,N,463.6
26.56,49.02,1007.65,70.78,B,Y,438.82
15.49,42.07,1018.01,78.07,C,Y,460.32
29.29,73.18,1012.4,66.65,B,N,430.31
21.69,57.17,1011.75,82.63,B,Y,446.61
33.67,80.18,1010.83,60.87,B,Y,431.99
20.79,57.32,1012.47,70.09,A,N,446.18
23.35,71.85,1009.32,73.48,A,Y,441.28
27.01,43.77,1011.18,46.58,C,Y,440.64
27.71,69.13,1001.63,51.45,C,Y,432.54
23.48,49.16,1002.7,70.22,C,Y,445.72
17.77,43.72,1009.01,77.7,A,N,456.34
22.24,69.23,1011.83,79.37,C,Y,441.9
24.6,57.85,1012.92,69.56,B,Y,447.09
19.06,50.16,1011.36,99.64,C,Y,449.74
14.56,47.45,1009.52,91.14,C,Y,451.95
26.62,71.73,1009.32,80.1,C,N,431.93
23.03,59.04,1011.85,81.24,C,Y,444.85
13.73,41.92,1031.01,64.92,C,N,466.29
13.79,42.07,1018.27,88.06,A,Y,462.25
23.46,73.18,1012.07,88.14,C,N,438.62
19.58,52.9,1017.46,64.64,C,Y,458.28
12.76,43.7,1015.13,65.34,A,N,475.73
6.93,43.13,1018.61,88.31,C,Y,486.94
10.63,39.61,1020,72.42,B,N,476.99
17.46,39.99,1008.52,69.73,B,Y,461.01
6.15,40.77,1022.42,88.57,C,Y,482.49
6.9,44.71,1019.7,71.21,A,N,486.3
25.77,59.39,1014.76,69.99,A,N,438.64
27.86,63.07,1011.11,56.81,A,N,440.48
7.91,41.79,1021.86,54.92,C,N,479.02
22.35,63.47,1013.21,82.52,C,N,440.11
17.65,62.1,1019.63,84.3,B,Y,452.2
16.96,52.9,1019.61,81.86,C,Y,460.2
18.71,53.16,1013.26,82.64,C,Y,455.7
24.22,61.86,1013.39,80.11,C,Y,442.65
23.61,59.39,1015.11,78.84,B,Y,438.08
14.01,45.08,1023.28,82.49,B,N,464.79
31.33,76.86,997.85,64.43,C,Y,431.44
12.86,44.77,1018.75,74.73,A,Y,468.43
16.4,38.01,1022.2,73.05,A,Y,463.79
22.49,58.82,1009.73,85.19,C,N,444.11
23.75,61.5,1008.16,69.14,B,N,442.35
28.92,66.51,1015.5,34.51,C,Y,439.09
12.11,41.17,1019.46,62.59,C,Y,475.53
13.64,43.71,1024.41,84.46,A,N,468.85
28.52,57.82,1004.81,57.82,B,N,435.4
24.79,59.21,1017.9,53.83,A,Y,446.04
24.27,60.37,1005.13,77.16,C,Y,437.78
31.59,62.7,1009.3,50.16,C,N,442.58
23.25,51.86,1013.54,78.34,B,Y,450.22
22.1,58.33,1013.71,69.09,B,Y,441.31
24.97,54.2,1012.68,74.25,C,Y,439.71
11.96,43.41,1017.42,79.44,C,N,469.34
35.03,68.27,1006.55,43.82,B,Y,426.22
17.97,65.94,1012.92,88.22,B,Y,448.88
24.24,70.32,1009.38,82.83,A,Y,436.45
5.04,40.64,1021.35,93.63,A,Y,484.42
17.18,40.55,1000.47,72.03,C,Y,461.73
11.24,25.36,1009.26,97.47,A,N,469.92
32.69,72.86,1003.57,56.84,C,Y,431.76
27.6,73.42,1011.91,83.66,B,N,431.44
7.5,38.06,1021.96,83.45,A,N,485.98
22.15,43.77,1010.81,60.08,A,N,448.46
18.18,44.63,1020.41,48.64,C,Y,455.57
17.19,37.2,1011.84,67.59,C,N,468.4
10.42,43.79,1016.22,90.75,B,N,474.79
12.74,49.83,1007.44,91.47,C,N,466.09
27.43,56.85,1011.86,36.76,C,N,436.64
23.68,68.12,1011.18,72.45,A,Y,441.54
13.83,42.86,1030.77,75.09,A,N,470.21
16.58,41.93,1022.36,45.24,A,Y,466.61
13.41,45,1021.65,45.24,C,Y,478.96
16.61,50.9,1013.18,85.26,C,Y,460.35
3.99,39.9,1009.74,96.81,C,Y,490.91
23.39,63.21,1011.91,84.57,B,Y,448.3
14.42,41.16,1004.32,88.42,B,Y,467.25
7.11,43.13,1018.96,87.82,B,N,486.11
13.7,45.64,1019.18,92.66,C,Y,467.9
24.43,65.18,1012.57,77.83,A,N,437.26
27.39,69.14,1008.82,78.35,C,Y,435.22
26.94,62.91,1011.68,41.3,C,Y,449.1
19.09,42.44,1012.93,63.59,B,N,461.84
15.46,44.6,1017.7,68.2,B,Y,459.62
31.94,74.99,1002.05,34.12,B,N,440.17
10.58,41.49,1020.43,91.9,C,Y,473.19
19.95,58.46,1017.45,89.46,C,N,447.1
5.82,40.62,1016.79,85.04,A,Y,482.67
12.72,44.9,1007.6,71.8,A,Y,463.49
14.87,54.3,1017.17,71.57,A,N,462.87
29.17,67.45,1014.1,46.85,C,N,435.08
14.13,43.7,1015.94,80.89,C,N,469.28
22.67,60.77,1017.56,79.43,C,Y,444.43
28.01,64.69,1007.61,58.45,C,Y,440.23
30.93,70.83,1010.61,46.13,C,Y,440.59
23.01,66.54,1009.86,64.53,C,Y,442.47
32.53,77.95,1014.76,58.1,A,N,434.44
26.57,44.57,1007.76,50.39,C,Y,445.49
11.64,40.1,1015.5,87.05,A,N,477.2
16.31,42.28,1007.45,77.77,A,N,466.49
20.03,45.01,1012.73,56.89,C,Y,460.11
20.79,65.59,1014.9,77,C,Y,450.3
17.3,42.24,1017.07,64.52,C,Y,469.21
25.86,61.08,1013.51,67.5,C,Y,449.67
9.8,41.82,1032.98,67.55,A,N,473.72
25.42,75.6,1017.39,77.63,C,Y,438.24
28.75,77.24,1008.92,77.17,A,Y,433.03
18.58,46.97,1014.25,74.09,C,N,454.26
22.56,70.79,1005.85,93.09,C,Y,435.14
23.05,48.98,1015.64,49.33,B,Y,446.05
26.78,52.3,1008.52,61.23,C,N,441.21
10.13,39.18,1024.09,85.48,A,N,479.42
31.97,69.04,1008.5,47.69,C,Y,441.18
8.95,36.18,1014.08,76.94,C,Y,478.07
7.57,39.61,1018.66,85.73,C,N,480.86
25.97,43.21,1011.9,88.73,A,Y,434.83
24.56,60.27,1017.63,74.5,A,Y,440.31
30.71,64.05,1011.75,62.81,B,Y,438.42
13.8,39.39,1013.85,81.95,A,Y,471.7
20.21,58.12,1015.36,79.18,C,Y,453.19
16.77,45.01,1013.47,81.42,C,N,458.22
29.18,71.43,1011.65,59.49,C,N,443.75
17.86,52.9,1015.71,67.99,B,N,457.42
4.24,39.9,1009.28,96.74,A,Y,491.25
24.11,59.27,1011.02,78.18,C,Y,444.35
15.5,40.12,1012.79,96.75,A,Y,460.41
9.62,41.01,1019.43,97.99,C,Y,467.34
5.05,35.57,1027.03,80.02,A,N,491.4
26.81,71.29,1009.65,80.69,C,Y,434.48
15.68,39.16,1006.09,75.62,C,Y,461.98
21.85,63.86,1020.16,68.84,B,N,445.62
30.98,67.45,1015.18,45.4,C,N,433.59
30.14,67.69,1006.54,57.05,C,N,426.91
29.89,71.29,1009,55.72,C,N,431.45
29.42,56.9,1006.51,53.6,C,Y,439.51
26.6,61.02,1010.26,66.16,A,N,436.19
19.64,48.06,1014.81,74.96,C,Y,455.27
13.16,54.3,1017.33,82.43,C,N,468.4
33.17,70.4,1004.45,58,B,N,430.14
16.14,44.71,1014.83,39.41,B,N,468.88
25.34,71.06,1007.74,92.52,B,Y,434.86
21.12,63.56,1014.16,81.42,A,Y,445.9
13.41,39.35,1015.1,79.32,B,N,471.85
13.38,40.12,1013.92,96.96,B,N,468.15
17.27,43.52,1021.37,76.73,C,Y,460.08
16.69,46.18,1010.8,96.8,C,Y,466.03
7.8,39.04,1018.46,66.5,A,N,482.31
27.14,75.23,1011.47,63.14,C,Y,439.33
21.08,44.05,1008.13,72.52,A,N,449.6
32.23,69.13,1000.61,55.1,A,Y,426.9
13.48,40.73,1017.59,94.81,C,N,463.6
10.45,40,1019.01,89.01,A,N,465.43
25.43,70.17,1000.46,87.84,B,Y,436.43
7.09,39.37,1020.07,73.26,C,N,487
31.24,74.22,1007.74,48.77,A,Y,430.44
21.92,61.87,1009.68,58.83,C,Y,445.52
10.74,52.75,1021.75,75.41,C,N,467.48
13.67,41.48,1017.51,63.54,B,Y,463.97
9.79,39.69,1002.36,93.86,C,N,471.61
14.04,39.64,1011.09,87.22,C,N,472.31
24.43,61.25,1011.66,85.24,A,N,436.05
14.88,42.28,1007.26,71.3,A,N,466.73
10.68,38.38,1020.79,72.33,C,N,476.22
14.22,42.32,1015.54,77.23,A,Y,465
14.47,44.66,1016.33,93.52,C,Y,464.41
7.19,40.81,1015.22,85.65,B,N,487.15
11.73,37.92,1008.24,65.13,B,Y,472.04
10.94,43.67,1012.36,73.3,B,Y,477.34
14.44,39,1017.06,76.02,A,N,466.96
24.53,74.78,1009.9,78.34,A,Y,446.3
29.72,54.2,1012.86,38.48,B,Y,438.84
17.52,44.05,1008.87,85.67,B,N,455.72
12.99,44,1025.22,90.27,B,Y,470.93
10.04,39.66,1015.84,82.31,A,N,480.63
30.5,66.75,1017.55,38.2,C,N,432.87
33.11,69.75,1008.88,42.08,C,Y,437.19
13.41,40.89,1010.85,89.61,C,Y,472.4
26.98,74.78,1009.77,69.54,C,Y,442.28
15.19,42.03,1017.38,71.66,C,N,462.64
28.24,64.69,1007.35,61.14,C,Y,438.03
29.04,60.07,1014.88,47.23,A,N,438.5
13.74,45.08,1024.97,84.79,B,N,466.79
12.58,39.72,1017.85,57.74,C,N,471.24
17.3,47.45,1010.29,87.13,A,N,448.79
28,69.05,1000.82,65.24,B,N,427.71
15.15,53.82,1016.34,62.59,C,N,461.6
25.47,65.34,1015.3,50.31,C,N,445.39
20.78,68.28,1008.75,60.87,A,Y,450.57
26.12,49.02,1008.63,72.04,B,N,438.52
13.78,40.73,1017.55,94.28,C,Y,462.59
26.28,68.14,1005.61,53.17,A,Y,435.71
27.76,75.33,1003.69,79.62,C,N,433.03
18.26,49.64,1024.92,62.82,B,N,462.6
6.4,39.18,1024.6,86.83,C,Y,484.44
26.31,44.57,1007.51,52.6,C,Y,452.73
32.89,73.68,1014.45,52.34,C,Y,426.46
6.74,36.08,1020.36,86.98,C,N,484.18
22.69,65.18,1012.47,80.9,C,N,441.18
33.11,77.54,1010.36,50.99,C,Y,431.77
22.28,58.86,1014.08,66.47,C,N,446.55
28.84,75.6,1018.41,53.96,B,N,442.69
31.75,74.99,1003.25,53.33,C,Y,430.82
9.6,41.82,1032.93,72.63,B,Y,475.01
21.54,69.48,1011.04,80.48,C,Y,443.15
13.33,38.47,1015.42,58.27,C,Y,466.26
12.73,37.73,1021.89,61.76,A,N,470.89
28.73,68.24,1008.31,56.85,A,Y,430.63
9,43.13,1020.25,81.32,B,Y,481.09
31.1,68.51,1012.99,54.3,C,N,428.68
28.81,56.86,1005.82,56.86,C,Y,434.08
14.95,42.74,1027.66,66.71,A,Y,464.31
23.04,48.06,1014.16,54.99,C,Y,459.36
24.04,68.94,1007.62,69.11,C,Y,437.13
27.69,65.34,1014.31,46.59,B,Y,442.84
28.82,64.79,1016.74,56.34,B,Y,445.1
25.23,69.34,1009.51,82.87,A,Y,445.92
8.77,40.77,1011.54,89.58,A,Y,480.56
7.61,44.71,1019.41,70.48,B,Y,485.36
28.37,75.6,1017.48,55.19,C,N,439.25
21.82,50.66,1013.74,73.6,C,N,455.2
14.82,42.74,1028.04,69.81,A,Y,466.34
13.97,52.05,1012.05,85.36,A,N,463.64
31.74,72.25,1012.21,41.62,C,N,437.29
27.27,72.58,1009.25,89.31,B,Y,428.93
23.95,58.79,1010.45,74.34,A,Y,448.32
29.08,66.54,1004.67,64.5,A,N,430.16
28.3,64.33,1011.23,68.88,C,N,441.51
12.66,43.67,1012.49,95.96,C,Y,472.44
30.12,74.16,1013.13,63.56,B,Y,433.08
29.44,65.51,1014.82,56.49,B,N,445.67
25.95,59.92,1010.05,76.05,C,Y,443.93
32.5,71.37,1003.75,43.8,B,Y,433.7
23.97,44.57,1007.35,62.71,B,N,448.17
21.97,58.12,1015.29,77.47,C,Y,449.6
32.17,73.21,1001.43,69.86,C,N,430.64
12.35,40.73,1019.03,95.53,C,N,466.71
18.03,53.16,1013.06,82.03,A,N,458.04
32.07,71.29,1008.43,44.95,A,Y,426.96
31.39,69.59,1008.28,62.86,C,N,435.76
11.92,40.62,1016.66,55.25,C,Y,468.14
10.65,41.78,1013.66,70.04,C,N,474.27
31.24,68.3,1015.89,42.84,C,N,435.2
9.13,39.04,1022.36,74.6,A,N,483.24
23.39,71.25,1005.22,93.7,C,N,435.68
11.95,42.03,1017.58,90.89,B,N,465.2
33.3,68.14,1003.02,53.43,C,Y,426.88
24.27,61.47,1007.84,80.85,A,Y,448.66
18.13,39.72,1002.75,58.85,B,N,455.81
21.9,55.5,1018.85,60.27,B,Y,456.52
27.52,67.9,1005.65,59.52,C,N,439.01
16.76,48.14,1012.92,65.74,C,N,456.31
12.77,36.71,1013.29,86.4,C,Y,475.59
16.44,53.82,1015.4,63.16,C,N,462.09
29.01,70.32,1007.26,60.55,A,N,429.23
18.9,57.5,1016.21,93.9,B,N,451.42
22.33,71.94,1011.06,82.85,B,Y,441.85
26.58,59.39,1014.49,65.87,A,N,439.46
17.36,52.9,1015.42,69.97,B,Y,458.66
28.18,64.84,1009.22,56.04,B,Y,443.65
24.63,59.57,1010.45,85.36,A,Y,440.67
13.62,40.2,1014.2,85.05,C,Y,465.74
16.62,54.3,1017.99,63.76,A,N,459.59
17.33,41.35,999.51,68.36,C,N,460.46
20.72,63.94,1017.17,59.83,B,N,447.69
6.89,39.37,1020.21,74.17,B,Y,486.9
33.61,69.88,1007.4,42.51,B,Y,435.99
27.38,59.21,1012.74,53.53,C,Y,437.78
23.21,63.94,1013.56,80.23,B,Y,446.11
26.13,71.25,999.8,88.47,C,N,430.6
15.18,44.2,1019.6,72.45,A,Y,462.09
5.66,39.42,1024.7,78.52,C,Y,482.11
15.75,36.99,1007.67,93.8,B,N,464.38
29.45,75.6,1018.12,50.68,C,N,437.31
20.12,69.45,1013.23,88.48,C,N,442.89
22.8,73.17,1011.87,91.57,C,Y,437.98
29.93,71.85,1008.43,66.64,C,N,426.82
29.25,72.99,1006.85,61.15,B,Y,429.12
34.14,74.34,1000.19,43.56,B,N,434.23
19.47,58.79,1016.8,87.26,A,N,450.17
24.03,58.46,1015.71,70.15,C,N,442.03
12.71,43.02,1012.25,62.68,C,Y,475.38
26.6,61.41,1012.35,54.42,B,Y,451.4
27.09,65.61,1014.22,48.13,C,N,442.94
26.44,71.77,1006.68,81.45,A,N,430.12
28.31,65.71,1014.67,59.29,A,N,447.26
10.87,44.71,1021.38,58.22,A,Y,484.63
29.54,69.48,1008.91,56.07,B,N,427.82
15.98,41.48,1017,55.73,B,Y,456.31
24.27,70.47,1008.96,78.31,B,N,434.24
29.78,70.98,1007.82,77.59,C,N,436.32
24.05,64.69,1006.63,69.2,A,Y,438.36
28.59,80.18,1011.36,89.18,C,N,431.55
13.97,40.24,1018.32,88.72,B,Y,467.93
11.56,40.43,1025.48,74.75,C,Y,489.54
20.07,49.21,1012.34,56.8,B,Y,454.25
31.19,68.3,1014.86,39.1,C,Y,430.48
18.39,67.71,1003.77,92.48,C,Y,444.63
9.78,43.8,1022.25,69.64,C,N,477.22
29.26,69.34,1009.76,58.64,A,N,435.32
9.53,38.38,1020.49,80.08,C,N,478.03
22.32,48.41,1008.68,79.11,A,Y,445.36
18.95,42.23,1013.01,79.4,B,Y,462.73
11.55,42.34,1020.78,94.56,C,Y,469.13
27.3,65.12,1016.24,44.87,A,N,442.78
22.1,68.63,1015.19,59.05,B,N,449.54
17.12,68.28,1003.56,94.29,B,N,449.94
14.85,45.87,1009.37,84.65,C,N,462.67
10.33,40.69,1014.25,84.46,A,N,480.18
19.45,46.33,1013.39,99.52,C,Y,452.82
12.16,40.81,1025.79,70.97,A,N,476.63
7.65,36.3,1016.5,65.51,B,Y,482.56
4.31,38.5,1011.75,82.08,A,N,492.92
19.04,43.43,1009.25,68.74,C,N,453.32
26.02,70.79,1004.21,79.12,C,Y,428.72
26.09,60.29,1017.72,50.83,C,N,444.71
27.14,65.27,1013.26,55.17,C,Y,441.68
22.67,58.2,1016.91,60.75,A,Y,446.36
7.28,40.67,1020.16,72.7,B,Y,493.3
25.62,73.17,1011.65,86.45,A,N,430.56
22.33,59.8,1016.84,67.09,C,N,450.07
23.93,68.28,1005.16,69.91,A,N,444.95
29.07,51.43,1006.22,61.58,B,N,438.79
15.79,50.88,1014.58,99.9,B,Y,460.19
28.81,64.96,1000.46,68.05,B,N,427.91
17.07,44.9,1020.74,70.18,A,Y,460.19
32.51,69.98,1011.92,49.45,C,N,428.37
22.11,59.8,1016.74,73.9,C,Y,453.45
18.41,62.1,1020.4,78.1,A,N,457.14
28.9,71.25,1000.73,77.24,C,N,431.52
10.47,44.21,1017.87,85.34,B,N,476.02
10.09,37.14,1012.99,72.59,C,N,473.66
27.09,73.5,1011.34,76.06,A,N,434.31
17.44,44.89,1009.9,80.54,B,Y,457.67
23.76,58.82,1011.75,77.34,A,N,444.57
31.11,69.05,1002.37,41.56,B,Y,433.19
23.86,63.77,1014.6,82.37,B,Y,440.58
15.09,40.89,1010.15,92,B,Y,466.47
9.26,39.61,1021.18,84.58,A,N,480.38
15.83,52.75,1024.3,58.34,C,N,458.6
9.96,39.66,1015.23,82.98,C,N,480.6
19.3,65.59,1014.07,81.98,C,Y,452.76
19.91,51.19,1008,90.23,C,Y,449.23
23.18,51.43,1011.56,81.83,C,N,449.94
19.13,45.38,1014.72,81.95,A,N,459.94
24.6,63.78,1017.25,60.33,A,N,448.65
29.38,74.9,1003.25,72.19,C,Y,433.74
29.15,69.48,1008.68,55.78,B,N,430.54
31.03,69.59,1007.77,63.96,A,N,432.56
21.84,45.09,1013.94,46.11,C,Y,450.88
6.28,43.02,1013.72,88.13,B,Y,487.17
22.48,50.32,1008.47,83.58,C,Y,444.5
31.51,71.97,1007.84,71.18,B,N,430.11
15.67,41.1,1004.1,77.93,B,Y,466.45
13.24,39.16,1016.52,86.66,B,N,474.48
17.1,43.52,1020.3,70.51,A,Y,461.51
32.32,67.9,1006.08,37.93,A,Y,428.12
23.51,63.78,1016.1,69.79,C,N,446.58
13.58,40.75,1016.05,76.45,B,Y,472.73
12.43,40.27,1007.08,61.56,B,Y,470.92
16.37,39.64,1009.19,76.92,B,Y,463.91
7.64,43.79,1016.17,84.45,B,Y,486.01
21.03,59.8,1015.86,76.63,C,Y,453.86
33.37,73.88,1005.8,47.94,C,Y,436.76
18.92,62.26,1012.05,85.99,A,N,451.51
20.61,48.78,1020.8,85.05,C,N,449.38
22.38,63.31,1014.76,73.8,B,Y,441.3
30.2,73.67,1006.31,62.14,C,Y,428.72
31.02,70.4,1006.24,77.86,C,N,431.37
17.64,57.76,1016.28,85.04,B,N,455.75
28.85,58.33,1013.78,41.39,B,N,444
22.4,70.94,1008.06,84.52,B,Y,440.04
19.13,68.61,1010.65,94.92,C,N,448.69
23.79,59.44,1012.53,79.48,A,N,448.67
22.12,60.37,1008.75,92.13,B,N,439.18
29.14,67.45,1015.51,46.47,A,Y,433.34
20.17,56.03,1019.47,56.77,C,Y,458.04
29.3,74.16,1007.72,81.92,B,N,431.32
5.7,40.62,1016.07,84.94,B,Y,482.82
25.5,68.08,1011.13,72.86,B,Y,436.07
16.06,47.45,1009.97,88.09,C,N,450.62
27.75,65.34,1014.8,45.91,B,Y,440.83
25.12,66.56,1009.22,65.62,B,N,436.56
22.78,62.44,1011.79,75.43,A,Y,446.12
29.3,69.48,1010.1,53.69,B,N,429.42
8.01,40.02,1031.33,85.01,C,N,477.84
16.58,38.01,1023.5,60.14,C,Y,464.03
17.08,58.86,1016.04,87.46,B,Y,449.98
17.54,44.58,1016.56,79,B,Y,465.51
26.93,56.9,1006.25,77.79,C,N,444.7
22.52,67.32,1011.4,66.2,C,Y,443.49
13.48,46.18,1018.15,88.38,B,N,464.58
9.05,40,1015.48,80.91,B,N,472.41
19.93,56.65,1020.7,62.82,C,Y,456.53
29.68,64.33,1011.2,57.73,C,Y,441.79
30.52,70.04,1010.62,54.47,C,Y,431.14
12.54,40.8,1024.56,68.97,B,N,479.65
27.6,69.05,1003.87,42.01,B,Y,436.08
18.48,46.48,1007.53,82.57,C,Y,461.49
15.24,48.6,1007.08,86.49,A,N,459.85
4.41,42.07,1005.54,68.85,B,N,488.36
15.82,44.88,1018.59,78.88,A,N,461.9
24.65,72.43,1007.99,90.05,B,N,437.59
19.02,52.72,1025.44,51.9,A,N,461.57
23.32,69.13,1010.75,91.84,C,N,435.27
23.99,68.12,1012.92,70.68,C,N,437.14
10.12,39.96,1025.98,98.63,B,N,471.6
12.53,43.56,1014.8,74.05,C,Y,469.23
18.11,52.08,1002.51,100.09,C,Y,449.99
24.94,59.07,1008.89,84.79,C,N,440.12
30.92,59.57,1010.87,62.43,C,Y,440.96
12.68,45.01,1013.86,83.26,C,Y,448.69
25.41,66.49,1014.06,51.09,B,Y,449.2
14.12,39.4,1008.02,76.45,C,N,468.63
28.33,64.96,999.71,69.66,C,N,427.42
14.77,49.15,1020.56,80.27,A,N,467.72
29,70.72,1009.51,67.72,B,Y,437.55
18.02,49.78,1003.86,100.09,B,N,451.41
11.55,40.6,1014.44,87.06,C,N,475.14
15.31,52.75,1025.21,55.22,B,Y,460.77
12.36,37.73,1021.36,65.45,B,N,470.39
19.45,58.95,1017.79,93.46,C,Y,445.1
27.05,67.79,1010.99,71.37,B,N,443.89
9.73,40.22,1011.48,87.88,B,N,481.42
11.11,37.5,1013.68,73.67,C,N,473.32
13.01,41.58,1020.82,78.41,B,Y,464.64
11.76,40.96,1023.22,81.31,A,Y,475.18
